run_id,fishery_id,time_step,legal_marked,legal_unmarked
9,34,3,0,0
9,35,3,0,0
9,36,3,1365.422444,16.577558
9,37,3,299.64598,0.35402
9,38,3,0,0
9,39,3,0,0
9,40,3,0,0
9,41,3,0,0
9,42,3,4047.8787350000002,29.12127
9,44,3,0,0
9,45,3,0,0
9,47,3,0,0
9,48,3,0,0
9,50,3,0,0
9,51,3,0,0
9,52,3,0,0
9,53,3,4689.643436,10.356562
9,54,3,4755.225701,13.774298
9,55,3,0,0
9,56,3,3707.310187,10.572322999999999
9,57,3,2641.057528,11.87892
9,58,3,0,0
9,59,3,0,0
9,60,3,0,0
9,61,3,0,0
9,62,3,197.397931,0.602068
9,63,3,0,0
9,64,3,2307.046426,1.767306
9,65,3,0,0
9,66,3,0,0
9,67,3,1926.538058,4.326505
9,69,3,0,0
9,71,3,0,0
10,1,3,0,0
10,2,3,0,0
10,3,3,0,0
10,4,3,0,0
10,5,3,0,0
10,6,3,0,0
10,7,3,0,0
10,8,3,0,0
10,9,3,0,0
10,10,3,0,0
10,11,3,0,0
10,13,3,0,0
10,14,3,0,0
10,15,3,0,0
10,16,3,0,0
10,17,3,0,0
10,18,3,0,0
10,20,3,0,0
10,21,3,0,0
10,22,3,0,0
10,23,3,0,0
10,24,3,0,0
10,25,3,0,0
10,26,3,0,0
10,27,3,0,0
10,30,3,0,0
10,31,3,0,0
10,32,3,0,0
10,33,3,0,0
10,34,3,0,0
10,35,3,0,0
10,36,3,1772.310777,27.689224
10,37,3,299.488838,0.511162
10,38,3,0,0
10,39,3,0,0
10,40,3,0,0
10,41,3,0,0
10,42,3,3861.559815,29.03946
10,44,3,0,0
10,45,3,0,0
10,47,3,0,0
10,50,3,0,0
10,51,3,0,0
10,52,3,0,0
10,53,3,4686.18043,13.819566
10,54,3,6025.255894,24.744108
10,56,3,3952.757758,13.447937999999999
10,57,3,2799.755143,16.262695
10,59,3,0,0
10,60,3,0,0
10,61,3,0,0
10,62,3,251.86963599999999,1.130365
10,63,3,0,0
10,64,3,1819.909483,1.690518
10,65,3,0,0
10,66,3,0,0
10,67,3,2823.769357,28.230642
10,69,3,0,0
10,71,3,0,0
11,1,3,0,0
11,2,3,0,0
11,3,3,0,0
11,4,3,0,0
11,5,3,0,0
11,6,3,0,0
11,7,3,0,0
11,8,3,0,0
11,9,3,0,0
11,10,3,0,0
11,11,3,0,0
11,13,3,0,0
11,14,3,0,0
11,15,3,0,0
11,16,3,0,0
11,17,3,0,0
11,18,3,0,0
11,20,3,0,0
11,21,3,0,0
11,22,3,0,0
11,23,3,0,0
11,24,3,0,0
11,25,3,0,0
11,26,3,0,0
11,27,3,0,0
11,30,3,0,0
11,31,3,0,0
11,33,3,0,0
11,36,3,2149.42227,31.577731
11,37,3,299.656546,0.343453
11,38,3,0,0
11,39,3,0,0
11,40,3,0,0
11,41,3,0,0
11,42,3,3878.034285,27.965722
11,44,3,0,0
11,45,3,0,0
11,47,3,0,0
11,48,3,0,0
11,50,3,0,0
11,51,3,0,0
11,52,3,0,0
11,53,3,4287.856048000001,12.14395
11,54,3,7225.893706,32.106294999999996
11,55,3,0,0
11,56,3,3540.70303,25.296968
11,57,3,3358.688566,20.311433
11,58,3,0,0
11,59,3,0,0
11,60,3,0,0
11,61,3,0,0
11,62,3,363.9027,3.097299
11,63,3,0,0
11,64,3,2286.466411,1.992267
11,66,3,0,0
11,67,3,2442.677247,12.322752
11,69,3,0,0
11,71,3,0,0
