run_id,fishery_id,time_step,legal_marked,sublegal_marked,legal_unmarked,sublegal_unmarked
6,55,3,0,0,0,0
6,56,3,5427.6037479999995,6971.557095,1049.236975,1983.5781549999997
6,57,3,4818.588657,5049.48587,669.024076,1419.114235
6,58,3,0,0,0,0
6,59,3,0,0,0,0
6,61,3,0,0,0,0
6,62,3,154.0929,330.97800500000005,46.958802,80.10197
6,63,3,0,0,0,0
6,64,3,1285.010793,2296.397895,115.642859,168.90415499999997
6,65,3,0,0,0,0
6,66,3,0,0,0,0
6,67,3,1457.4208079999999,754.071265,84.653415999999993,27.080644999999997
6,69,3,0,0,0,0
6,71,3,0,0,0,0
7,1,3,0,0,0,0
7,2,3,0,0,0,0
7,3,3,0,0,0,0
7,4,3,0,0,0,0
7,5,3,0,0,0,0
7,6,3,0,0,0,0
7,7,3,0,0,0,0
7,8,3,0,0,0,0
7,9,3,0,0,0,0
7,10,3,0,0,0,0
7,11,3,0,0,0,0
7,12,3,0,0,0,0
7,13,3,0,0,0,0
7,14,3,0,0,0,0
7,15,3,0,0,0,0
7,16,3,0,0,0,0
7,17,3,0,0,0,0
7,18,3,0,0,0,0
7,20,3,0,0,0,0
7,21,3,0,0,0,0
7,22,3,0,0,0,0
7,23,3,0,0,0,0
7,24,3,0,0,0,0
7,25,3,0,0,0,0
7,26,3,0,0,0,0
7,27,3,0,0,0,0
7,30,3,0,0,0,0
7,31,3,0,0,0,0
7,32,3,0,0,0,0
7,33,3,0,0,0,0
7,34,3,0,0,0,0
7,35,3,0,0,0,0
7,36,3,1663.255363,1894.8990099999999,1958.564241,1365.985655
7,37,3,299.650873,0,3790.905303,0
7,38,3,0,0,0,0
7,39,3,0,0,0,0
7,40,3,0,0,0,0
7,41,3,0,0,0,0
7,42,3,5329.141479,12533.58923,2964.69135,6618.306985
7,44,3,0,0,0,0
7,45,3,0,0,0,0
7,47,3,0,0,0,0
7,48,3,0,0,0,0
7,50,3,0,0,0,0
7,51,3,0,0,0,0
7,52,3,0,0,0,0
7,53,3,4013.115064,3918.585855,958.989383,444.13007999999996
7,54,3,5028.30646,2189.2173749999997,1737.337901,839.561955
7,55,3,0,0,0,0
7,56,3,3513.353056,3538.65141,1096.963889,1793.0534649999997
7,57,3,3223.618876,3944.78112,672.578893,1204.529965
7,58,3,0,0,0,0
7,59,3,0,0,0,0
7,60,3,0,0,0,0
7,61,3,0,0,0,0
7,62,3,234.08846599999998,447.45815,117.151743,277.085715
7,63,3,0,0,0,0
7,64,3,1083.26172,1899.78072,96.632576,197.00277499999999
7,66,3,0,0,0,0
7,67,3,2716.646795,844.48023,262.76364,67.076825
7,69,3,0,0,0,0
7,71,3,0,0,0,0
8,1,3,0,0,0,0
8,2,3,0,0,0,0
8,3,3,0,0,0,0
8,4,3,0,0,0,0
8,5,3,0,0,0,0
8,6,3,0,0,0,0
8,7,3,0,0,0,0
8,8,3,0,0,0,0
8,9,3,0,0,0,0
8,10,3,0,0,0,0
8,11,3,0,0,0,0
8,12,3,0,0,0,0
8,13,3,0,0,0,0
8,14,3,0,0,0,0
8,15,3,0,0,0,0
8,16,3,0,0,0,0
8,17,3,0,0,0,0
8,18,3,0,0,0,0
8,20,3,0,0,0,0
8,21,3,0,0,0,0
8,22,3,0,0,0,0
8,23,3,0,0,0,0
8,24,3,0,0,0,0
8,25,3,0,0,0,0
8,26,3,0,0,0,0
8,27,3,0,0,0,0
8,30,3,0,0,0,0
8,31,3,0,0,0,0
8,32,3,0,0,0,0
8,33,3,0,0,0,0
8,34,3,0,0,0,0
8,35,3,0,0,0,0
8,36,3,1770.80416,1496.1044849999998,2140.038031,1083.720765
8,37,3,299.658553,0,3714.1381610000003,0
8,38,3,0,0,0,0
8,39,3,0,0,0,0
8,40,3,0,0,0,0
8,41,3,0,0,0,0
8,42,3,4568.227586,9020.115544999999,2464.19983,7072.892870000001
8,44,3,0,0,0,0
8,47,3,0,0,0,0
8,48,3,0,0,0,0
8,50,3,0,0,0,0
8,51,3,0,0,0,0
8,52,3,0,0,0,0
8,53,3,7504.83583,6148.72024,1279.2830589999999,677.9301699999999
8,54,3,5479.95789,2928.947405,1521.831702,727.69303
8,55,3,0,0,0,0
8,56,3,4769.146907,4692.759335,943.813792,1166.3671
8,57,3,4806.3697409999995,4353.08108,717.983536,1031.543745
8,59,3,0,0,0,0
8,60,3,0,0,0,0
8,61,3,0,0,0,0
8,62,3,229.198768,507.368055,59.70722,104.50927
8,63,3,0,0,0,0
8,64,3,1276.661225,847.5903050000001,102.991065,89.92386499999999
8,66,3,0,0,0,0
8,67,3,2719.338371,720.86597,197.402268,50.36353499999999
8,69,3,0,0,0,0
8,71,3,0,0,0,0
9,1,3,0,0,0,0
9,2,3,0,0,0,0
9,3,3,0,0,0,0
9,4,3,0,0,0,0
9,5,3,0,0,0,0
9,6,3,0,0,0,0
9,7,3,0,0,0,0
9,8,3,0,0,0,0
9,9,3,0,0,0,0
9,10,3,0,0,0,0
9,11,3,0,0,0,0
9,13,3,0,0,0,0
9,14,3,0,0,0,0
9,15,3,0,0,0,0
9,16,3,0,0,0,0
9,17,3,0,0,0,0
9,18,3,0,0,0,0
9,20,3,0,0,0,0
9,21,3,0,0,0,0
9,22,3,0,0,0,0
